content,score
"Kalau buat sistem login yang BENER!!! kalo sekiranya pengguna tiktok hanya untuk dewasa, seharusnya fitur Login ada diawal percuma kalo semua orang bisa akses konten tanpa harus login terlebih dahulu, Saya coba login dengan tahun lahir 2012++ ya aksesnya ditolak. jadi kesimpulnya percuma jika login dengan tahun 2012++ ditolak tetapi mereka tetap bisa akses kontenya kan ANEHHH!!!.",1
"apk bug sendiri lag"",baruu masuk langsung bug udah riset tetap bug ,saya kasi ranting bintang 1 karna apk kurang bagus banyak bug nyaa ,kadang"" ada suara ga ada gambar nyaa ,suka keluar sendiri"" aneh ,apk geje ,tolong tt beri pengalaman yg lebih enk lgii agar tidak banyak yg mengeluh"" bug begtuu ,perbaiki kenierja sistem nyaa tt ,saya harap bug"" seperti ini tidak terjadi lagi tt ,karnaa kasian yg udh hapus dowlod lagi masih tetap bug dan error tt ,hilang kan bug"" itu tt ,sekian terima kasih ,!!!",1
"Semoga admin membaca ulasan ini serta mempertimbangkannya min untuk pemotongan foto profil kurang memuaskan, bisa tidak potongannya dibuat kotak saja jangan bulat, kalau bulat hanya sebagian gambar aja yang dapat sebagian gambar yang lain tidak dapat, jadi sekali lagi untuk pemotongan foto profil dibuat kotak saja, biar semua gambar bisa dapat dan hasilnya memuaskan.",3
"tolong lebih di maksimalkan lagi apk tiktok nya,,sering sekali terjadi ga bisa terbuka tiktok nya,,padahal apk lain bisa di buka dan memori saya pun belum penuh, tiktok nya seperti lag di tempat beberapa kali di coba pun tetap tidak bisa,,kalau kek gini ke sering an jadi males buka apk tiktok",2
"kenapa setiap saya ingin memasuki tiktok tiba' aplikasinya ga bisa di pencet ngebug,trus kadang juga ngestuck di logo ga ada vidionya cuman kelihatan logo,sampe saya biasanya harus hapus aplikasi dan donwload lagi, ya karna sering ngubug ga jelas, terus kadang tiba' vidio nya macet lah apalah padahal koneksi jaringan saya aman stabil dan tidak ada kendala, jadi tolong di perbaiki semua sistem nya yg kurang.",3
"tiktok kok Skrang jadi sering nge lag ya. tiap kali buka tiktok, ada pemberitahuan tiktok tidak memberi tanggapan dan akhirnya tutup aplikasi. pas di buka lagi gitu aja terus, padahal wifi kenceng penyimpanan hp pun masih banyak.",4
"untuk pihat tiktok tolong aplikasi nya di benerin ya , soal nya setelah memakai aplikasi ini kurang lebih 3/4 hari , pas mau memakai lagi langsung lag parah loading nya lama jaringan nya bagus saya lihat tapi kok loading nya lama tolong di benerin ya bug nya",2
"tiktok makin di update makin banyak bug nya, mau buat vt pun susah, setiap mau pake filter selalu bug, sampe sampe ga bisa di pake, juga pas mau foto mau ganti filter ga bisa, malah filternya jadi double, kadang warna hitam ga keliatan, suka ngebug ga bisa gerak, setiap mau buat vt selalu saja hitam",1
"Saya sangat kecewa dengan TikTok. Saya sudah menggunakannya lebih dari dua tahun dan tertarik karena fitur API Streak. Namun, sejak pembaruan yang membatasi usia dalam mengirim pesan, fitur pesan hilang dari perangkat saya, dan semua API Streak yang saya buat lenyap. Mungkin ini memang kebijakan TikTok, tapi perubahan ini sangat mengecewakan. Saya dan banyak pengguna lain merasa dirugikan. Saya pun berpikir untuk berhenti menggunakan TikTok dan mencari aplikasi lain yang lebih sesuai.",1
"banyak banget bug nya gatau kenapa tiba tiba keluar sendiri kadang lag sampe keluar jadi kaya gini tuh sering banget aku ngalamin setiap hari kayanya kaya gitu terus cape aku keluar masuk tiktok kadang juga layar jadi putih/hitam kalo lagi cari sesuatu tiba tiba keluar sendiri lah,tolong dong di perbaiki kadang lagi asik asiknya scroll video malah keluar gajelas banget kadang juga baru masuk langsung keluar dulu apk ini ga gini deh dulu mah bagus ga keluar keluar mohon segera di perbaiki lagi",1
"gajelas bngt tiktok, masa abis di update beberapa hari yang lalu waktu mau buat video malah jadi gelap layarnya pas mau pakai filter, padahal sebelumnya aman"" aja jaringan juga lancar. saya jadi gbisa buat vid/ft di tiktok lagi, kirain cuma lag sebentar doang gtaunya memang dari sananya bug. tolonglah di perbaiki, soalnya bug ini terjadi pas abis saya update, sbelumnya ga kaya gini. udah saya uninstall trus download lagi tapi tetep aja.",1
"bagus sih aku suka banget,tp sayang nya knp kok setelah di update apk gak bisa di buka,kalo di bukak layar hitam dan tiba² hp mati dan pas bisa di bukak itu tiba tiba ngebug dan gak mau di geser sama sekali.dan tolong dr pihak tiktok apk nya lebih di upgrade lagi ya.....",4
"setiap bikin vidio tiktok pasti hasil nya jadi beda kadang vidio nya yang delay, kadang sound nya yang delay jadinya suka ga pas padahal pas take vidio uda pas. tapi sebelum nya ga pernah gitu kok sekarang jadi suka gitu sih?tolong perbaiki ya",3
"tolong sekali ya untuk pihak dan developer tiktok, kenapa setiap ada konten dengan upload foto dan quotes yg diupload dalam bentuk foto, perangkat saya sering kelap-kelip / flickering yg bikin kepuasan dalam menonton atau membaca konten keganggu, saya kasih bintang 3 karena masih ada penanganan dan solusi tapi ujungnya kurang ampuh dan tidak teratasi masalah flickering ini, jadi mohon diperbaiki untuk update kedepannya, sekian terimakasih 🙌",3
"kadang ini suka bug padahal jaringan sama memori internal masih normal gaada masalah,terus kalo mau pencet aplikasi nya haru berkali kali dulu baru bisa buka tiktok,saya buka aplikasi yang lain ga seperti itu,terus kadang kalo saya mau buka aplikasi nya kadang suka lemot tiba tiba diem nge frezz saya ga tau kenapa padahal memori saya masih bnyk,saya bela belain hapus aplikasi buat buka aplikasi tiktok eh ternyata tetep ga bisa,jadi saya harus download ulang trs,tolong bwt mimin ny krng in bug ny",2
"rekomendasi pencarian tiktok sekarang sudah mengarah yang tidak etis dan lebih ke cabul, yang anehnya dia merekomendasi bukan yang sering saya cari, malah mengarahkan yang tidak pantas untuk dilahat. Untuk kedepannya mohon rekomendasi pencarian tik tok yang masuk akal dan sewajarnya saja",1
"apknya lumayan bagus. tapi ada satu bug yg bikin kesal, kalau mau buka tiktok lama banget, dan udah masuk tiktok malah tampilan tktknya hitam, kadang suka keluar sendiri dari apknya sampe 5X, jadi next update di perbaiki lagi min",3
"aplikasi nya banyak bug nya, seperti tidak bisa masuk, harus berkali kali pencet dan instal ulang baru bisa masuk, tolong hilangkan fitur yang tidak berguna agar lebih ringan aplikasi nya dan tidak banyak bug, dan satu hal lagi aplikasi ini banyak buzzer nya ternyata, yang ngerate bintang 1 kalah banyak dengan buzzer bintang 5, padahal nih apk banyak masalah nya",1
"platform yg dpt digunakan utk membuat video kreatif dan terdapat banyak tantangan, tren, dan efek seru, algoritma yg cepat menyesuaikan preferensi pengguna. aplikasi ini cocok utk hiburan dan promosi. tetapi utk sebagian orang aplikasi ini bsa membuat kecanduan karena scroll terus-menerus, saat pengguna mencari sesuatu malah muncul beberapa konten tdk sesuai dgn pencarian/tdk pantas, dan tdk semua pengguna dpt membuat streak karna ada satu teman saya yang tdk bisa buat streak namun yg lain bisa.",4
"tolongg perbaiki bugg nya plss, setiap mau login atau masuk pasti tiba tiba keluar sendiri atau ga bakalan layarr hitam trs tiba tiba mati. padahal ruang penyimpanan aman, internet juga lancarr. sudah 3 hari seperti ini padahal biasanya lancar lancar aja, saat mau bikin vidio juga kadang keluar sendiri atau engga filter nya ga mau di akses. mohonn di perbaiki secepatnya yaa",3
"Walau sudah update versi terbaru tetap tidak bisa merefresh konten di preferensi konten, jadi fyp-nya sudah tidak menarik lagi, dan mengapa setelah tekan ikon live loadingnya lama sekali? padahal versi terdahulu bisa langsung muncul video akun yg sedang siaran langsung",1
"segera perbaiki bug bug. seperti vidio selalu patah-patah, menonton live selalu memutar/lag tidak muncul livenya. ketika scroll-scroll agak berat dan scroll, muncul memutar vidio baru beberapa detik selalu mengulang kembali keawal vidio",1
"aplikasi nya sangat bagus,saya suka tapi saat update aplikasinya menjadi bug dan tidak bisa di buka cara ampuh nya harus mendownload ulang dan 1 minggu biasanya saya mendownload 4 kali atau 5 kali dalam 1 minggu saya harap bisa diperbaiki itu saja terimakasih..",4
"sebenarnya tiktok ini udah bagus aja, cuma saya minta tolong hilangkan bug nya. setiap kali saya masuk tiktok pasti langsung keluar dengan sendirinya. setiap kali nge scroll vt pasti ngelag, apalagi pernah ngestuck di vt itu dan keluar sendiri.",4
"aplikasi nya bagus cuma banyak bugnya,kadang harus ditunggu tapi tetep ngebug jadi hrs download lagi,trus satu lagi,kadang mau mencet logo tiktok pasti ga bisa udah ditunggu 7hari 7 malem juga sama aja jadi tolong diperbaiki lagi biar ga ribet bolak balik download",1
"kok bug nya makin parah ya?? kalo mau masuk terkadang keluar sendiri, ini padahal udah update lohh terkadang saya uninstall terus download lagi sampe saya sudah malas untuk memainkan tiktok lagi, kalo semisal saya gak main tiktok sehari saja pasti gak akan bisa masuk ketiktok lagi pasti akan keluar sendiri, mohon semua bug diperbaiki sampe semua komentar positif",2
"foto dan video sekarang harus ada watermarknya, nggak suka banget. apalagi tiap nyimpen foto atau video malah jadi ngeblur di galeri. lebih suka versi yg sebelumnya, gambar dan videonya jernih ,bisa tanpa watermark juga. yg sekarang malah sering ngelag,keluar aplikasi sendiri.",1
"tolong tiktok, kita sebagai kreator pasti ingin rajin upload biar akun kita bisa direkomendasikan ke beranda Orang-orang. tapi yang masalah adalah soal bug 0 view, dan itu terjadi beberapa kali di akunku. bagaimana itu bisa terjadi? tolong, entah itu bug atau marketing kalian saya harap itu segera dihilangkan atau diperbaiki!!!!!",3
"Tik tok Ahir² ini sering banget nge band atau nge bug, apalagi kalo buka aplikasi ini lama banget, sumpah ya tik tok yaaa bikin gak mood aja satu aplikasi ini, dikit² nge bug dikit² di band. apasih maunyaa heran deh gue, terus aja hapus download hapus download gituuuuu ajaaa terus, terus yang paling nyebelin itu kalo lagi nonton, malah langsung keluar sendiri kenapa? malahan kalo school tik tok itu hp itu malah jadi panas, ngeleg, boros baterai jugaaa. Padahal kalo di YouTube aman aman aja tuh",1
"y ok. apk udah dua kali bug mulu harus di hapus terus download lagi baru bisa, ngapa jadi begini si tok tiktok bikin orang kesel doang. perbaiki lagi lah minimal. sering bgt bug di logo nya juga tapi ada suara nya, gak jelas.",3
"Pls, suka ngelag app nya waktu mw masuk/ buka tiktok pas dipencet malah gabisa masuk harus dipencet berulang ulang, kurangin dong lag nyaa. Terus pas ak keluar dari aplikasi trs masuk lagi malah gabisa sebenarnya ke2 nya lag nya sama, gabisa masuk.. Jd tolong, kurangin lagg (Jika bisa.)",4
"banyak bug yang belum terselesaikan, tolong untuk lebih di tingkatkan lagi kualitasnya, dan sering tiba² keluar sendiri, ngelaq ketika ngetik di kolom pencarian, dan loading masuk cukup lama🙏🏻, paling sering tiba² keluar sendiri. mohon untuk segera di perbaiki. terimakasih",3
"aplikasi nya bagus, dan sangat menyenangkan, tetapi akhir' ini saya memakai aplikasi tersebut selalu ngelag, pas mau di buka udh keluar sendiri, trs kadang juga tidak ada gambar tapi ada lagu, ketika sedang membuat vidio selalu keluar sendiri, mungkin bisa di upgrade ke yg lebih baik dari sebelumnya, terimakasih",5
"aplikasinya sering nge bug,seperti cuma muncul logonya saya tunggu beberapa menit tetap ga bisa sama tiba tiba suka kembali, jadi tolong di perbaiki.bug ini membuat saya tidak nyaman saat menggunakan aplikasi ini dan juga saya harus mengunistal aplikasinya, saya harus bolak balik ke play store untuk mendowload kembali,tolong kerja samanya.Terimakasihh",1
"aplikasi ini lumayan bagus fitur² ny, cuman sayang bnyk yg mengeluh soal beratnya membuka aplikasi tiktok dikarenakan laging. padahal ram/memori msh bnyk, tolong di perbaiki lagi apa yg sudah org keluhkan kebanyakan tolong di minimalisir",3
"tiktok ini apk favorit selain terhibur dengan semu isi konten nya, juga menyenangkan untuk berbelanja.. Tapi akhir-akhir ini berat banget lelet ngebug parah, padahal udah upgrade 5 hri lalu sekarang minta upgrade lagi, mana makin besar.. di apk lain aman, kapasitas HP aman sinyal pun aman & Bisa gak untuk Yang saling follow gak usah ada pembatasan terlalu sering mengikuti begitu jadinya kurang maksimal",3
"aplikasi keluar mendadak.aplikasi macet.aplikasi tidak mendukung ada apa dengan tiktok dulu ga kayak gini paling sering kular sendiri,macet,ngebug apa lah padahal sudah di update lagi asik ²nya scroll malah kular sendiri",1
"TIKTOK SEKARANG JADI MAKIN NGELAG, banyak ngebug, waktu pake filter tiba tiba lag, dan suka tiba tiba gabisa pindah akun, kalo kirim foto, video atau post pasti lama banget. padahal jaringan baik baik aja. plis pihak tiktok hilangin bug nya😭😭🙏🏻🙏🏻",1
"Sangat mengecewakan 😔😔😔 Alih-alih memperbaiki bug update TikTok justru nambah masalah baru. Salah satu bug paling ngeselin ada di fitur ""Aktivitas"" notifikasi balasan komentar nggak muncul tepat waktu Bahkan, notifikasinya baru muncul berjam-jam kemudian, padahal itu hal penting banget 😤😭😭 Saya udah coba ganti akun, restart HP, hapus & install ulang TikTok tapi tetap aja bug-nya nggak hilang. Ini jelas bikin pengalaman pengguna makin buruk dan harus segera diperbaiki 😭😭😭",2
"sekarang tiktok banyak bug,ga bisa masuk layar hitam teruss,pas download lama pdhl pake wifi,wifi juga ga ngeleg kok masih aja tetep lama,trs tiba tiba keluar dari aplikasi juga,mohon di perbaiki lagi tiktoknya",2
"udah bagus secara menyeluruh tetapi ada bug yang mungkin terjadi,vidio yang udh kita tonton itu muncul lagi dengan berjarak 4 vidio kayak udh di tonton itu sama yang posting vidio itu tadi juga sama ,ibarat vidio itu memutar lagi ,itu aja sih kalau fitur lain oke lah bagus udah Topp mungkin bug scroll aja yang udh kita tonton kembali lagi padahal di dalam rekomendasi loh itu bukan di pencarian, jika bug nya udh di perbaiki saya akan ganti ulasan lagi ke b5 terimakasih",4
"tiktok sekarang kenapa dah padahal dulu baik"" aja sekarang kalau baru buka apk tu serasa lemotttt banget padahal jaringan bagus memori juga ada tapi kenapa sih lemot banget dan kalau keluar itu bikin HP tuh jadi macet-macet gitu loh sama kata biasanya kalau di tengah-tengah video itu sering macet-macet gitu loh padahal kan wi-fi-nya juga lancar gitu loh diperbaiki lagi nanti insya Allah akan ku beri rating bintang 5 kok",1
"tolong tiktok akun saya diblokir padahal video kena peringatan sudah saya hapus video nya .tapi di hp ku saat ini sudah tidak bisa membuka apk tiktok lagi padahal kepengen , setiap buka tiktok ada tulisan akun anda diblokir berkali kali muncul gituan , tolong gimana cara buat akun lagi, buat akun lain juga gabisa login,ini gimana tiktokkkkkkkk,masa gara² video 1 tapi masalahnya segitu banget",1
"""Aplikasi yang sangat bermanfaat untuk terhubung dengan teman dan keluarga. Tampilan yang sederhana dan mudah digunakan. Fitur berbagi foto, video, dan status sangat membantu untuk tetap update dengan kabar terbaru. Notifikasi juga cepat dan akurat. Semoga terus ditingkatkan agar makin lancar dan ringan",5
"aplikasinya bagus dech mantap dan rekomendasi, tp lemotnya luar biasa, jadi ga maksimal memakai nya mau upload vidio dan mengunakan fitur yg laennya pun juga ga maksimal karna lemot nya, kadang juga kluar2 sendiri dan tidak menangappin. tolong di perbaiki agar bisah maksimal mengunakan fitur2 nya dan upload vidio/ngedit nya",4
"fitur sudah bagus tapi kenapa sesudah update malah nge bug, vidio ulang dari awal, jaringan sering hilang,kadang ga bisa dibuka cuman stuck di logo, suka keluar sendiri dari apk nya..mohon di perhatikan pihak tiktok",3
tiktok aplikasi nya bagus banget tapi akhir' ini sukaa ngebug apalgi udah 3 hari saya engga bisa pke filter tiktok malah hitam smua layar nya ituu kenapa ya tolong perbaiki!! jadi susah mau pakai nya juga makasih..,3
"secara keseluruhan udah bagus,cuman 1 masalah yg saya alami dan sampai sekarang gk bisa"" di atasi setiap buka keranjang kuning selalu muncul potongan puzzle dan itu selalu gagal padahal sudah tepat di posisi,mohon dong pihak developer di perbaiki,atau bisa di berikan cara agar di hilangkan saja",2
"Aplikasinya bagus,cuma ada sedikit bug dalam aplikasi kadang suka keluar sendiri dan juga terlalu banyak fitur yang malah merepotkan,dan juga membuat ruang penyimpanan yang harus disediakan untuk tiktok menjadi lebih berat,saran sih persimple fitur dalam aplikasi",3
"gapaham sama algoritma nya, berkali-kali bilang ga tertarik dan filter konten tetap aja yang muncul di fyp konten ga sesuai dan ga faedah. capek bilang ga tertarik ke tiap konten yang muncul dan yang muncul tetap itu-itu aja. saran dibuat fitur seperti filter konten tapi untuk keyword yang diminati",2
"sumpah capek banget hapus tiktok terus instal lagi gara gara kebanyakan bug mulai dari live yang tadi mau di skip trus tiba tiba masuk masuk sendiri terus kadang stuck di logo tiktok Ampe hp nge crash,cara nya juga cuman hapus trus instal lagi biar normal itu pun 3 hari pun udah paling normal kalo ga di hapus pls lah ini bug nya gimana woi jadi ga enjoy santai nya malah di tiktok lite lebih bagus ga ada bug sama sekali tapi di apk utama nya malah bug sekebon di tampung duh lee",1
"tiktok saya seperti tiktok lama, suara saat bikin tiktoknya jadi jadul seperti 2021, harus nya menggunakan suara yang direkomendasikan dan suara populer bukan suara lama, dan filter filternya juga seperti tahun 2021 ga update. pihak tiktok mohon update akun tiktok saya",3
"aplikasinya sih bagus tapi entah kenapa tt ku error gak bisa pakek filter atau fitur foto. yang lainya sih aman gak ada apa apa, cuma aku gak bisa bikin vidio buat konten atau foto. kalau aku mau pakek filter buat bikin konten tiba tiba layar buat fotonya menghitam dan gak bisa buat foto. aku sempat uninstall appnya tapi tetep aja gak bisa normal lagi. mungkin ini bug ya atau gak tau saya kurang tau. semoga setelah ini bisa di perbaiki",1
"untuk pihak tiktok tolong dengarkan kami para pengguna, ini aplikasi ngebug. lag parah banget bahkan sudah keluar dan sudah tidak berjalan dilatarbelakang juga tetap lag jadi memengaruhi perangkat juga dan solusinya ya perangkatnya harus di muat ulang dan itu sangat menggangu",1
"tiktok kenapa sih pas mau aplod video dan di edit di aplikasi tiktok itu sendiri, suka pecah dan suka mect videonya, aku hari ini udh 5 kali ngedit di tiktok tetep aja gak ada kemajuan , malah hilang videnya, Kenapa yaa pas live gem, suka mecet dan suka berakhir tiba-tiba live nyaa, kadang patah patah, terus tiktok sekarang penyimpanan nya makan ruang 3gb lebih, gem ff aja gak sampe 3gb, tolong dong di perbaiki, soalnya sya gak punya laptop atau komputer, saya cuma punya hp android aja,🙏😭",1
"apk ny bgus, bisa buat bikin video/ngliat video. tpi minusny,, kdang2 klo mau di buka pake acara nge lag segala. pdhl jaringan udh bagus. trus setiap ada update psti hrus nge lag parahhh dulu, sampe kalo mw pake apk lain jg nge lag. kesell lama lama klo gini. dlm kondisi blum ad update an baru pun jg sering bikin hape lag. harus di hapus dulu terus di download lgi jdinya. lama lama capeeeekkkkkj bgt klo gini. tolong dong aplikasiny di perbaiki",3
"saya pengguna Tokopedia dari pertama launching kecewanya tiktok tdk satu atap dgn Tokopedia tiktok shop pengiriman lambat penjual lelet lebih mahal dari toko orange,jujur gw udah kapok dn tdk akan pernah beli lagi,hampir 1juta belanjaan saya di tiktok 1minggu belum satupun barang saya terkirim, sungguh buruk dn kecewa bener",1
"tiktok knp si, tiba tiba nge bug nge frize di logo hbis itu jadi hitam keluar apk semua nge lag terus jadi mati daya gitu aja terus, harus di hapus trs download lgi, cape tau kasian yg memo nya penuh. di perbaiki lagi ni apk dulu bagus sekarang nge lag parahhhh. di perbaiki lagi.",1
"perihal promosi yang berbayar terhadap konten, kenapa ketika sudah bayar tiba-tiba keluar pemberitahuan ""konten di tolak karena melanggar panduan komunitas"", padahal disitu tidak ada sedikit pun hal yang memang bertolak belakang dengan kebijakan komunitas sama sekali, dan sangat mengecewakan nya pemberitahuan itu muncul pas sudah terjadi transaksi (sudah di bayarkan) padahal sebelum nya ada saran dari apk terhadap konten tsb untuk meningkatkan kualitas konten tsb dgn berbayar trksn sprt menipu!!",1
"tiktok itu paling mudah sangsi pelanggaran padahal tujuan nya semua untuk hiburan sesuai selera etah apa arti nya tontonan 18thn ke atas masih ada plangaran, dan terlalu mudah merespon pelapor. akibat pembelimiran banyak yang malas pake apk ttk",1
"tolong dong atasi bug di tiktok bug nya itu pas kita di pencarian,saya kan sedang di pencarian mencari tentang berita setiap kali saya pencet selalu yang muncul itu itu saja bahkan cuma ada 3 video terus saya ganti ke pencarian lain masih sama saja berulang ulang terus",1
"aplikasinya bagus dan sangat memuaskan tentunya, tapii tolong di perbaiki lagii yaaa, soalnyaa setiap mau masuk ke aplikasinya pasti selalu ngeuji kesabaran bangett dan selalu keluar sendirinya jugaa, dan kadang juga kalau keluar dari aplikasinya pasti hp ku selalu mati sendirinya dan tentunya lemott bagettt, jadi tolong di perbaiki lagi dan perhatikan lagi yaa aplikasinyaa",4
"ini kenapa ya malah lebih parah ,kalo mau masuk tiktok tidak bisa harus di hapus dulu lalu di download lagi,ini bukan satu Minggu sekali lagi malahan setiap hari, terus juga pas di hapus, tapi di playstore nya belum di hapus trus saya pencet unistal nya lama bgt loading nya gimana sih ini aduh,satu lagi di play store udh instal tapi gaada apknya hadeh,aneh padahal memori saya masih banyak.tolong segera di perbaiki krn bug ini sangat meresahkan jadi males buka tiktok",1
"tiktok setelah di update kenapa jadi ngelag banget terus pas buka tiktok juga lama banget dan setelah keluar dari aplikasi HP saya jadi ngelag padahal ruang penyimpanan masih banyak dan sebelum nya ngga gini, tolong perbaiki pliss kaya sebelum nya aja",2
"lumayan bgus sii tpi terkadang masih suka nge lag gtuu apk nya, kaya tiba tiba keluar sendiri, terus gabisa di pencet samsek, pas mau foto atau bkin vidio juga kdg ga bisa di pencet terus tiba tiba keluar sendiri. tolong di perbaiki lagi ya🙏🏻",4
"aplikasi terlalu lelet eh mau update ulang TDK bisa,,mau buat konten dia terlalu ngelek buat hp cepat panas,,tiba2 layar warna hitam,,buruk sekalii ini kak tolong diatasi dulu😌trus knp sya punya akun ini dibuat konten TDK ada fitur edit kak",1
"udh nyaman sama tiktok, tapi knp ya tiktok aku aneh bgt, kalo mau cari sound ga bisa kaya ga ada aja gtu musik nya, trus kadang ""musik tidak tersedia"" sedih si, karna kaya terlalu ribet kalo ngambil sound nya dri video org, ini kendala nya gmn?? liat update an juga udh, aku udh full nge update tiktok 😿😿😿😿(ga dari awal sebener nya, tapi udh aga lama juga ngalamin ini)",2
apk tiktok bagus banget tapi AKU MAU KASIH BINTANG 1 karena setiap aku mau bikin video selalu keluar jadi aku ga mood untuk bikin ulang video nya apalagi sering ngelag tiba tiba aja hape aku mati PLIS TOLONG MOHON DIPERBAIKI!,1
"bagus lah ya, bisa melihat vt random, seru, bahkan horror loh, keren zi keren, apalagi ada fitur streak, jadi ngobrol bareng temen tambah asik, dan bisa kembangin streak pet juga, keren deh pokoknya, THE BEST🤟🏻😋",5
"untuk vidionya sih bgus and berguna ya kdng, tapi knp ngelag bgt ya dan ketika masuk di apk langsung kembali ke layar utama, dan ngelag berat. dan saya berharap bisa lebih mudah lagi, ini saya sudh pastikan bahwa ram saya masih bnyk y tidak ada kemungkinan bahwa ram saya penuh, akun saya hilang dan mau daftar lagi ngelag bgt. saya berharap lebih mudah lagi",1
"woi tiktok kalo bikin apk yg niat lah,masa saya baru mau masuk ke apknya malah berhenti di logo nya dan kalo udah masuk ke apk nya malah ngefriz,aneh padahal penyimpanan hp saya masih banyak dan jaringan juga bagus bagus aja, perbaiki lagi dong tiktok, tiktok makin lama makin gak ada otak,tolong MB nya di kecilkan lagi untuk pengguna tiktok yg hp nya ramnya cuma sedikit,tolong respon nya. """,1
Saya sangat kecewa terhadap aplikasi Tiktok dimana Secara keseluruhan Memang Banyak pengguna tiktok tapi ini sekedar saran kalau tiktok Shopnya itu kerjasama dengan pengiriman misalkan saya sebut J&T dan sebagainya tolong dong dipercepat bisa nggak pengirimannya barangnya memang murah tapi sayang metode pengirimannya atau expedisinya selalu dipilihkan dengan yang paling murah dan juga Paling lama pengiriman misalkan jnt Ekono.Spx Express itu kan lambat banget...coba dong ditindk lajuti,1
"Uang saya ke tahan di TIKTOK, Beli coin gagal tapi transaksi masuk jadi rugi, Pasang iklan Gagal tapi transaksi MASUK. hubungi admin RIBET suruh minta bukti, di kasih bukti transaksi (secrenshoot) minta record, Transaksi sudah terjadi minta bukti record????!!.. Konten aman & valid di anggap TIDAK SESUAI PEDOMAN TIKTOK, sementara Konten HOT bermunculan di mana"", KONTEN"" BODOH tayang di mana""!!. #stopkontenbodoh TIDAK BERKELAS.",1
